Name,Address,Price,Details
Fairfield at Valley Stream,"64 Gibson Blvd, Valley Stream, NY 11581","$2,815.00",2 Beds • 1 Bath • 500 Sqft
The Plaza 360,"360 Central Ave, Lawrence, NY 11559","$3,005.00",1 Beds • 1 Baths • 775 Sqft
Fairfield Tudor At Rockville Centre,"565 Merrick Road, Rockville Centre, NY 11570","$3,590.00",2 Beds • 1 Bath • 871 Sqft
Fairfield Courtyard at Hewlett,"65 PROSPECT AVENUE, Hewlett, NY 11557","$2,970.00",Studio• 1 Bath • 785 Sqft
Fairfield Waterside At Village Of East Rockaway,"60 Front St, East Rockaway, NY 11518","$2,885.00",2 • 1 Baths • 738 Sqft
Fairfield Gables At Cedarhurst Village,"97 Cedarhurst Ave, Cedarhurst, NY 11516","$2,350.00",1 • 1 Bath • 562 Sqft
Fairfield Courtyard at Woodmere,"821 WOODMERE CT, Woodmere, NY 11598","$2,585.00",1 Beds • 1 Bath • 730 Soft
Fairfield Towne Centre at Hewlett,"1417-1433 Broadway, Hewlett, NY 11557","$2,250.00",1 Bed • 1 Bath • 700 Sqft
Fairfield Townhouse at Woodmere,"1086 LYNN PLACE, Woodmere, NY 11598","$2,605.00",2 Beds • 1–2 Baths
Fairfield Terrace At Lynbrook Village,"148 Broadway, Lynbrook, NY 11563","$2,450.00",1 Bed • 1 Bath
Fairfield Estates At Lynbrook Village,"140 Broadway, Lynbrook, NY 11563","$2,500.00",1 Bed • 1 Bath • 724 Sqft
Fairfield at Cedarhurst,"59 Columbia Ave, Cedarhurst, NY 11516","$2,160.00",Studio • 1 Bath • 625-999 Sqft
Fairfield Towne Centre South At Hewlett,"1230 Broadway, Hewlett, NY 11557","$3,000.00",4 Beds • 1 Bath
Fairfield Cedarhurst Court,"232 Cedarhurst Court, Cedarhurst, NY 11516","$2,450.00",Studio • 1 Bath • 600Sqft
Fairfield Town Centre At Hewlett 2,"1445 - 1443 Broadway, Hewlett, NY 11557","$2,200.00",1 Bed • 1 Bath
Fairfield At Far Rockaway,"707 Beach 9th St, Far Rockaway, NY 11691","$1,795.00",Studio • 1 Bath • 488 Sqft
Fairfield Townhouses At Lawrence,"269 Central Ave, Lawrence, NY 11559","$3,960.00","2 Beds • 2 Bath • 1,126 Sqft"
Fairfield West Broadway At Hewlett,"1240 West Broadway, Hewlett, NY 11557","$2,375.00",1 Bed • 1 Bath • 700 Sqft
Fairfield Estates At Woodmere,"37 Woodmere Blvd, Woodmere, NY 11598","$2,075.00",Studio • 1 Bath • 530 Sqft
45 Benedict Ave #1,"Valley Stream, NY 11580","$2,450.00",1 Bed • 1 Bath
136 Rockaway Ave #201,"Valley Stream, NY 11580","$2,600.00",1 Bed • 1 Bath • 850 Sqft
70 E Valley Stream Blvd #1,"Valley Stream, NY 11580","$4,000.00",3 Beds • 2 Bath
133 Dubois Ave #5,"Valley Stream, NY 11581","$2,450.00",1 Bed • 1 Bath
1 Wallace Ct,"1 Wallace Ct unit 08, Valley Stream, NY 11580","$4,495.00",3 Beds • 2 Bath
224-29 Davenport Avenue 1,"Queens, NY 11428","$3,000.00","3 Beds • 1 Bath • 1,000 Sqft"
141-08 256th St,"Queens, NY 11422","$3,000.00",3 Beds • 2 Bath
259-23 Francis Lewis Blvd,"Queens, NY 11422","$2,000.00",1 Bed • 1 Bath